Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
ENGR,289,Cooperative Engr Practice,0,0,0,0,0,9,0,40,0,1,Cicero
IE,201,Financial Engineering,51,63,47,10,5,0,0,0,0,4,Banerjee
IE,342,Probability & Stat for Engr,29,46,36,5,4,3,0,0,0,5,He
IE,365,Work Productivity Analysis,20,4,2,0,0,0,0,0,0,0,Williams
IE,380,Manufacturing Process Princ,4,8,6,0,0,0,0,0,0,0,Subramanian
IE,396,Senior Design I,10,2,0,1,0,0,0,0,0,0,Brown
IE,441,Ergonomics & Human Factors,30,7,2,2,0,0,0,0,0,0,Williams
IE,442,Design &Analysis of Experiment,27,22,4,1,0,0,0,0,0,0,Li
IE,461,Safety Engineering,21,23,12,2,1,0,0,0,0,1,Cali
IE,467,Discrete Event Simulation,52,8,2,0,0,0,0,0,0,1,Williams
IE,471,Operations Research I,38,11,1,0,0,0,0,0,0,0,Williams
IE,473,Stochastic Processes & Queuing,14,23,9,1,0,4,0,0,0,2,Darabi
IE,499,Prof Development Seminar,0,0,0,0,0,0,0,11,0,0,Darabi
IE,594,Virtual Healthcare Engr,18,1,0,0,0,1,0,0,0,0,Banerjee
IE,594,Big Data Analytics for CPMS,34,2,0,0,0,0,0,0,0,0,He
IE,594,Data Science 1,50,11,0,0,0,0,0,0,0,0,Sharabiani
IE,594,Data Science I,47,7,0,0,0,0,0,0,0,1,Sharabiani
IE,595,Industrial Engineering Seminar,0,0,0,0,0,0,0,143,1,0,Scott
IT,202,Web & Multimedia Technology,15,3,9,1,3,0,0,0,0,1,Hayes
ME,205,Intro to Thermodynamics,38,23,37,8,12,0,0,0,0,2,Minkowycz
ME,205,Intro to Thermodynamics,21,21,17,2,1,1,0,0,0,3,Siow
ME,210,Engineering Dynamics,21,43,14,24,5,0,0,0,0,5,Lilley
ME,211,Fluid Mechanics l,39,29,19,2,7,0,0,0,0,3,Xu
ME,250,Intro to Engineering Design,19,13,4,0,0,0,0,0,0,3,Abiade
ME,250,Intro to Engineering Design,25,7,0,0,0,0,0,0,0,1,Scott
ME,250,Intro to Engineering Design,64,3,1,0,0,1,0,0,0,2,Siow
ME,261,Materials for Manufacturing,3,4,10,0,0,1,0,0,0,1,McNallan
ME,308,Mechanical Vibrations,12,13,5,3,1,1,0,0,0,0,Lilley
ME,312,Dynamic Syst & Control,6,3,6,4,2,0,0,0,0,1,Berniker
ME,320,Mechanisms&Dynamics/Machinery,50,21,21,3,2,1,0,0,0,2,Brown
ME,321,Heat Transfer,8,6,2,0,1,0,0,0,0,1,Anand
ME,321,Heat Transfer,16,17,10,5,0,0,0,0,0,0,Salehi-Khojin
ME,325,Intermediate Thermodynamics,27,27,27,6,8,0,0,0,0,1,Manafzadeh
ME,341,Exp Methods in Mech Engr,30,38,17,1,1,0,0,0,0,1,Szwalek
ME,347,Computer-Aided Design,39,18,6,1,1,0,0,0,0,0,Szwalek
ME,370,Mechanical Engineering Design,24,20,15,7,2,0,0,0,0,4,Hatami Marbini
ME,380,Manufacturing Process Princ,18,51,15,3,0,1,0,0,0,1,Subramanian
ME,396,Senior Design I,21,5,0,0,0,0,0,0,0,0,Brown
ME,396,Senior Design Project,29,5,3,0,0,0,0,0,0,0,Brown
ME,396,Senior Design I,63,11,3,0,0,2,0,0,0,0,Komperda
ME,401,Applied Stress Analysis I,8,9,3,0,0,0,0,0,0,1,Shahbazian-Yassar
ME,411,Mechatronics I,37,23,0,0,0,0,0,0,0,2,Cetin
ME,412,Dynamic Systems Analysis I,24,7,0,0,0,2,0,0,0,1,Cetin
ME,413,Dynamics of Mechanical Systems,6,4,0,1,0,0,0,0,0,1,Shabana
ME,421,Intermediate Heat Transfer,14,9,2,0,1,0,0,0,0,0,Manafzadeh
ME,424,Industrial Energy Mgmt,51,13,2,3,0,0,0,0,0,0,Ryan
ME,428,Numerical Methods in ME,14,23,21,4,1,0,0,0,0,1,Aggarwal
ME,429,Internal Combustion Engines,54,12,3,0,0,0,0,0,0,1,Manafzadeh
ME,494,ME Math,3,7,0,0,0,0,0,0,0,3,Megaridis
ME,496,Undergrad Sen Design Thesis I,17,0,0,0,0,0,0,0,0,0,Komperda
ME,499,Prof Development Seminar,0,0,0,0,0,0,0,39,5,0,Darabi
ME,515,Micro&Nano Transport Phenomena,8,4,0,0,0,0,0,0,0,1,Yarin
ME,518,Fund of Turbulance,15,5,3,0,0,0,0,0,0,1,Paoli
ME,536,Chemical Reacting Flows,12,10,2,2,1,0,0,0,0,0,Lynch
ME,594,Advanced Topics in Solid Mech,12,19,2,3,1,0,0,0,0,0,Hatami Marbini
ME,594,Comp Compressible Flow,9,9,2,0,0,0,0,0,0,0,Mashayek
ME,595,Mechanical Engineering Seminar,0,0,0,0,0,0,0,247,2,0,Scott
ME,596,Independent Study in Mech Engr,7,0,0,0,0,3,0,0,0,0,Cetin
MENG,400,Engineering Law,8,2,0,0,0,0,0,0,0,0,Rockman
